country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Ireland,70.65344753,98.02790506,62.9594,70459.40734,3.28,126.459,52786.69,Euro,comm,4994724,0.1838545533937778,-0.8094753224386413,-1.2847498455590425,206752,3731,11.710703354847498,12.239275286357891,15.423892713282909,6253.248041333215
Israel,410.4805915,20.33762782,92.338,39790.41806,6.74,93.32,29478.4825,Euro,comm,9216900,0.33861039082894717,-0.847473323916287,-0.6532398377942319,735933,5493,12.370018320242774,13.508894360958598,16.03654931339975,6174.145056363853
Italy,205.4183722,76.35498878,70.1476,32284.13089,4.78,113.151,45941.1285714286,Euro,clust,59554023,0.041628126060478526,-0.6328582479389201,-1.9182391933856209,2605012,90224,11.614106486698617,14.772947839684907,17.9023944081588,5305.577792788238
Jamaica,270.9930748,176.2444825,55.3936,5151.305334,11.28,206.537,23094.6833333333,Amer,comm,2961161,-1.1289612127897422,0.9739248717029948,-0.16187074118694084,17299,358,8.899861618519365,9.758403975346978,14.901091979128001,15956.12240266571
Japan,347.0734584,136.2051696,91.5374,38215.82057,5.72,79.37,18308.0725,WPac,clust,125836021,0.07038005012827392,-0.0851760446943045,-2.1029733934960726,404689,6418,9.100605413490571,12.910874149866931,18.650490196697543,12841.925381604366
Jordan,112.1424983,8.38079609,90.7382,4258.55369,11.75,208.257,25971.6466666667,EMed,comm,10203140,0.6373216630852843,-0.8913043084710938,0.46562841756964035,336836,4387,11.005248312894746,12.7273514439992,16.138206074017777,11067.625191852705
Kazakhstan,6.769825721,21.77255298,57.3518,9419.637369,7.11,466.792,20237.0214285714,Euro,clust,18754440,0.2842914744158175,-0.013928166433347773,-0.4025474780789597,245064,3188,11.214408142639908,12.409274679903483,16.746941082348,16259.104057492521
Kenya,90.29941666,54.80080484,26.5724,1568.856027,2.92,218.637,1077.87333333333,Afri,comm,53771300,-1.5737207035331933,-0.8107392800667241,1.704545921417149,101950,1774,7.205650766489283,11.532237776002601,17.800250425544,138909.0178403721
Kuwait,232.1723906,9.824115962,100,30655.37261,15.84,132.235,26840.1475,EMed,comm,4270563,0.0660701354229937,-0.48145904313584714,-0.4178792790887732,171993,969,11.262906084895135,12.055209057292998,15.26725622663044,7095.553202235864
Kyrgyzstan,32.96558916,33.85907856,36.1596,1220.41043,7.11,436.362,8831.22333333333,Euro,clust,6591600,0.6193016137887701,0.08798244804831118,-0.03147460994720408,86053,1450,10.731039370859184,11.36271866448345,15.701306669118711,18328.032617270466
Latvia,30.99347057,55.69609228,68.088,15891.95885,4.91,350.06,47832.895,Euro,comm,1901548,-0.5093899509983019,0.09465456088882625,-1.621522898486882,72675,1358,11.679384685813915,11.193752725427077,14.458178849260877,12617.8859802645
Lebanon,669.4941349,44.97702968,88.4304,7736.823285,12.71,266.591,34376.2633333333,EMed,comm,6825442,0.49560256408472725,-0.269370817034176,-0.29649579211725297,321977,3679,10.876348715835228,12.682235393403975,15.736167658843097,9481.862003955202
Lesotho,69.43781291,60.71625439,27.7386,1137.160768,3.94,405.126,8549.04833333333,Afri,comm,2142252,-5.003002915853638,1.0307748279587736,0.7196421551768227,9381,182,9.788830971261394,9.14644164612595,14.577368170128782,413845.5857667538
Liberia,50.03090739,207.2174294,50.7074,684.5848293,2.42,272.509,11448.985,Afri,comm,5057677,1.2774110884235848,-3.2819886715584414,2.7437470852399306,1957,86,9.09779916318414,7.579167967396076,15.436417844940062,181875.78344761836
